round,day,home,away,stadium,home_state,away_state
20,2023-08-19,São Paulo,Botafogo,Estádio Cícero Pompeu de Toledo,SP,RJ
20,2023-08-22,Goiás,Athletico-PR,Estádio Serra Dourada,GO,PR
20,2023-08-20,EC Bahia,RB Bragantino,Arena Fonte Nova,BA,
20,2023-08-20,Santos,Grêmio,Estádio Urbano Caldeira,SP,RS
20,2023-08-19,Internacional,Fortaleza,Estádio Beira-Rio,RS,CE
20,2023-08-19,Cuiabá-MT,Palmeiras,Arena Pantanal,,SP
20,2023-08-20,Vasco da Gama,Atlético-MG,Estádio Jornalista Mário Filho,RJ,MG
20,2023-08-19,Fluminense,América-MG,Estádio Jornalista Mário Filho,RJ,MG
20,2023-08-20,Cruzeiro,Corinthians,Estádio Governador Magalhães Pinto,MG,SP
21,2023-08-27,Fortaleza,Coritiba FC,Estádio Governador Plácido Castelo,CE,
21,2023-08-28,Grêmio,Cruzeiro,Arena do Grêmio,RS,MG
21,2023-08-27,Botafogo,EC Bahia,Estádio Olímpico Nilton Santos,RJ,BA
21,2023-08-27,Atlético-MG,Santos,Arena MRV,MG,SP
21,2023-08-27,Athletico-PR,Fluminense,Ligga Arena,PR,RJ
21,2023-08-26,Flamengo,Internacional,Estádio Jornalista Mário Filho,RJ,RS
21,2023-08-27,RB Bragantino,Cuiabá-MT,Estádio Nabi Abi Chedid,,
21,2023-08-27,Palmeiras,Vasco da Gama,Allianz Parque,SP,RJ
21,2023-08-27,América-MG,São Paulo,Estádio Raimundo Sampaio,MG,SP
21,2023-08-27,Corinthians,Goiás,Neo Química Arena ,SP,GO
22,2023-09-03,EC Bahia,Vasco da Gama,Arena Fonte Nova,BA,RJ
22,2023-09-03,Fluminense,Fortaleza,Estádio General Sylvio Raulino de Oliveira,RJ,CE
22,2023-09-03,Botafogo,Flamengo,Estádio Olímpico Nilton Santos,RJ,RJ
22,2023-09-02,Athletico-PR,Atlético-MG,Ligga Arena,PR,MG
22,2023-09-03,Corinthians,Palmeiras,Neo Química Arena ,SP,SP
22,2023-09-03,América-MG,Santos,Estádio Raimundo Sampaio,MG,SP
22,2023-09-03,Grêmio,Cuiabá-MT,Arena do Grêmio,RS,
22,2023-09-02,Goiás,Internacional,Estádio Serra Dourada,GO,RS
22,2023-09-03,Cruzeiro,RB Bragantino,Estádio Governador Magalhães Pinto,MG,
22,2023-09-28,São Paulo,Coritiba FC,Estádio Cícero Pompeu de Toledo,SP,
23,2023-09-15,Santos,Cruzeiro,Estádio Urbano Caldeira,SP,MG
23,2023-09-14,Flamengo,Athletico-PR,Estádio Estadual Kléber José de Andrade,RJ,PR
23,2023-09-16,Cuiabá-MT,América-MG,Arena Pantanal,,MG
23,2023-09-15,RB Bragantino,Grêmio,Estádio Nabi Abi Chedid,,RS
23,2023-09-15,Fortaleza,Corinthians,Estádio Governador Plácido Castelo,CE,SP
23,2023-09-16,Palmeiras,Goiás,Allianz Parque,SP,GO
23,2023-09-17,Atlético-MG,Botafogo,Arena MRV,MG,RJ
23,2023-09-16,Vasco da Gama,Fluminense,Estádio Olímpico Nilton Santos,RJ,RJ
23,2023-09-14,Internacional,São Paulo,Estádio Beira-Rio,RS,SP
23,2023-09-15,Coritiba FC,EC Bahia,Estádio Major Antônio Couto Pereira,,BA
24,2023-09-23,Corinthians,Botafogo,Neo Química Arena ,SP,RJ
24,2023-09-22,Athletico-PR,Internacional,Ligga Arena,PR,RS
24,2023-09-19,EC Bahia,Santos,Arena Fonte Nova,BA,SP
24,2023-09-20,América-MG,RB Bragantino,Estádio Raimundo Sampaio,MG,
24,2023-09-21,Goiás,Flamengo,Estádio Serra Dourada,GO,RJ
24,2023-09-24,Atlético-MG,Cuiabá-MT,Arena MRV,MG,
24,2023-09-21,São Paulo,Fortaleza,Estádio Cícero Pompeu de Toledo,SP,CE
24,2023-09-22,Vasco da Gama,Coritiba FC,Estádio São Januário,RJ,
24,2023-09-21,Fluminense,Cruzeiro,Estádio Jornalista Mário Filho,RJ,MG
24,2023-09-22,Grêmio,Palmeiras,Arena do Grêmio,RS,SP
25,2023-09-30,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,SP,SP
25,2023-10-01,Cruzeiro,América-MG,Estádio Governador Magalhães Pinto,MG,MG
25,2023-10-01,Santos,Vasco da Gama,Estádio Urbano Caldeira,SP,RJ
25,2023-10-03,Botafogo,Goiás,Estádio Olímpico Nilton Santos,RJ,GO
25,2023-10-01,Internacional,Atlético-MG,Estádio Beira-Rio,RS,MG
25,2023-10-01,Coritiba FC,Athletico-PR,Estádio Major Antônio Couto Pereira,,PR
25,2023-09-30,Flamengo,EC Bahia,Estádio Jornalista Mário Filho,RJ,BA
25,2023-09-30,Cuiabá-MT,Fluminense,Arena Pantanal,,RJ
25,2023-10-01,RB Bragantino,Palmeiras,Estádio Nabi Abi Chedid,,SP
25,2023-09-30,Fortaleza,Grêmio,Estádio Governador Plácido Castelo,CE,RS
26,2023-10-08,Fortaleza,América-MG,Estádio Governador Plácido Castelo,CE,MG
26,2023-10-08,Palmeiras,Santos,Arena Barueri,SP,SP
26,2023-10-08,Internacional,Grêmio,Estádio Beira-Rio,RS,RS
26,2023-10-08,Fluminense,Botafogo,Estádio Jornalista Mário Filho,RJ,RJ
26,2023-10-07,Vasco da Gama,São Paulo,Estádio São Januário,RJ,SP
26,2023-10-08,Athletico-PR,RB Bragantino,Ligga Arena,PR,
26,2023-10-08,Corinthians,Flamengo,Neo Química Arena ,SP,RJ
26,2023-10-08,Atlético-MG,Coritiba FC,Arena MRV,MG,
26,2023-10-15,Cuiabá-MT,Cruzeiro,Arena Pantanal,,MG
26,2023-10-07,Goiás,EC Bahia,Estádio Serra Dourada,GO,BA
27,2023-10-20,Palmeiras,Atlético-MG,Allianz Parque,SP,MG
27,2023-10-19,Grêmio,Athletico-PR,Arena do Grêmio,RS,PR
27,2023-10-19,América-MG,Botafogo,Estádio Raimundo Sampaio,MG,RJ
27,2023-10-19,Coritiba FC,Cuiabá-MT,Estádio Major Antônio Couto Pereira,,
27,2023-10-19,Goiás,São Paulo,Estádio de Hailé Pinheiro,GO,SP
27,2023-10-20,Fluminense,Corinthians,Estádio Jornalista Mário Filho,RJ,SP
27,2023-10-20,Santos,RB Bragantino,Estádio Urbano Caldeira,SP,
27,2023-10-20,Cruzeiro,Flamengo,Estádio Governador Magalhães Pinto,MG,RJ
27,2023-10-19,EC Bahia,Internacional,Arena Fonte Nova,BA,RS
27,2023-10-19,Vasco da Gama,Fortaleza,Estádio São Januário,RJ,CE
28,2023-10-22,RB Bragantino,Fluminense,Estádio Nabi Abi Chedid,,RJ
28,2023-10-21,EC Bahia,Fortaleza,Arena Fonte Nova,BA,CE
28,2023-10-22,Internacional,Santos,Estádio Beira-Rio,RS,SP
28,2023-10-22,Atlético-MG,Cruzeiro,Arena MRV,MG,MG
28,2023-10-21,Cuiabá-MT,Goiás,Arena Pantanal,,GO
28,2023-10-22,Corinthians,América-MG,Neo Química Arena ,SP,MG
28,2023-10-22,Flamengo,Vasco da Gama,Estádio Jornalista Mário Filho,RJ,RJ
28,2023-10-22,Botafogo,Athletico-PR,Estádio Olímpico Nilton Santos,RJ,PR
28,2023-10-21,São Paulo,Grêmio,Estádio Cícero Pompeu de Toledo,SP,RS
28,2023-10-22,Coritiba FC,Palmeiras,Estádio Major Antônio Couto Pereira,,SP
29,2023-10-27,Santos,Coritiba FC,Estádio Urbano Caldeira,SP,
29,2023-10-26,Cruzeiro,EC Bahia,Estádio Governador Magalhães Pinto,MG,BA
29,2023-10-26,Palmeiras,São Paulo,Allianz Parque,SP,SP
29,2023-11-23,Fortaleza,Botafogo,Estádio Governador Plácido Castelo,CE,RJ
29,2023-10-26,Athletico-PR,América-MG,Ligga Arena,PR,MG
29,2023-10-26,Fluminense,Goiás,Estádio General Sylvio Raulino de Oliveira,RJ,GO
29,2023-10-26,Cuiabá-MT,Corinthians,Arena Pantanal,,SP
29,2023-10-27,Vasco da Gama,Internacional,Estádio São Januário,RJ,RS
29,2023-10-26,RB Bragantino,Atlético-MG,Estádio Nabi Abi Chedid,,MG
29,2023-10-26,Grêmio,Flamengo,Arena do Grêmio,RS,RJ
30,2023-10-29,Palmeiras,EC Bahia,Allianz Parque,SP,BA
30,2023-10-29,Corinthians,Santos,Neo Química Arena ,SP,SP
30,2023-11-24,Flamengo,RB Bragantino,Estádio Jornalista Mário Filho,RJ,
30,2023-10-29,América-MG,Grêmio,Estádio Raimundo Sampaio,MG,RS
30,2023-10-29,Goiás,Vasco da Gama,Estádio Serra Dourada,GO,RJ
30,2023-10-29,Internacional,Coritiba FC,Estádio Beira-Rio,RS,
30,2023-10-29,Athletico-PR,São Paulo,Ligga Arena,PR,SP
30,2023-10-30,Botafogo,Cuiabá-MT,Estádio Olímpico Nilton Santos,RJ,
30,2023-11-18,Fortaleza,Cruzeiro,Estádio Governador Plácido Castelo,CE,MG
30,2023-10-29,Atlético-MG,Fluminense,Arena MRV,MG,RJ
31,2023-11-03,São Paulo,Cruzeiro,Estádio Cícero Pompeu de Toledo,SP,MG
31,2023-11-02,Goiás,RB Bragantino,Estádio Serra Dourada,GO,
31,2023-11-02,Cuiabá-MT,Vasco da Gama,Arena Pantanal,,RJ
31,2023-11-02,Botafogo,Palmeiras,Estádio Olímpico Nilton Santos,RJ,SP
31,2023-11-02,Coritiba FC,Grêmio,Estádio Major Antônio Couto Pereira,,RS
31,2023-11-02,Flamengo,Santos,Estádio Nacional de Brasília Mané Garrincha,RJ,SP
31,2023-11-01,Corinthians,Athletico-PR,Neo Química Arena ,SP,PR
31,2023-11-02,Atlético-MG,Fortaleza,Arena MRV,MG,CE
31,2023-11-01,Internacional,América-MG,Estádio Beira-Rio,RS,MG
31,2023-10-31,EC Bahia,Fluminense,Arena Fonte Nova,BA,RJ
32,2023-11-07,Santos,Cuiabá-MT,Estádio Urbano Caldeira,SP,
32,2023-11-06,Vasco da Gama,Botafogo,Estádio São Januário,RJ,RJ
32,2023-11-04,América-MG,Atlético-MG,Estádio Municipal Parque do Sabiá,MG,MG
32,2023-11-23,Fluminense,São Paulo,Estádio Jornalista Mário Filho,RJ,SP
32,2023-11-04,Grêmio,EC Bahia,Arena do Grêmio,RS,BA
32,2023-11-05,Fortaleza,Flamengo,Estádio Governador Plácido Castelo,CE,RJ
32,2023-11-05,RB Bragantino,Corinthians,Estádio Nabi Abi Chedid,,SP
32,2023-11-05,Palmeiras,Athletico-PR,Arena Barueri,SP,PR
