Rodada,Data,Mandante,Visitante,Estádio,PRV
35,15/04/2024,São Paulo,Grêmio,Morumbi,0
35,16/04/2024,Fortaleza,Athletico-PR,Castelão,1
35,16/04/2024,Corinthians,Internacional,Neo Química Arena,0
35,16/04/2024,Botafogo,Vitória,Nilton Santos (Engenhão),0
36,21/04/2024,Ceará,Botafogo,Castelão,0
36,21/04/2024,Coritiba,Athletico-PR,Couto Pereira,0
36,21/04/2024,Sport,Internacional,Ilha do Retiro,0
36,21/04/2024,São Paulo,Palmeiras,Morumbi,0
36,22/04/2024,Vitória,Atlético-MG,Barradão,0
36,22/04/2024,Fluminense,Fortaleza,Maracanã,0
36,22/04/2024,Corinthians,Santos,Neo Química Arena,0
36,23/04/2024,Cuiabá,Vasco,Arena Pantanal,0
36,23/04/2024,Grêmio,Flamengo,Arena do Grêmio,0
36,23/04/2024,Cruzeiro,Bahia,Mineirão,0
37,28/04/2024,Grêmio,Vitória,Arena do Grêmio,0
37,28/04/2024,Fortaleza,Cruzeiro,Castelão,0
37,28/04/2024,Corinthians,Palmeiras,Neo Química Arena,0
37,28/04/2024,Vasco,Athletico-PR,São Januário,0
37,29/04/2024,Cuiabá,Botafogo,Arena Pantanal,0
37,29/04/2024,Internacional,Bahia,Beira-Rio,0
37,29/04/2024,Flamengo,São Paulo,Maracanã,0
37,30/04/2024,Atlético-MG,Ceará,Arena MRV,0
37,30/04/2024,Coritiba,Fluminense,Couto Pereira,0
37,30/04/2024,Santos,Sport,Vila Belmiro,0
38,05/05/2024,Atlético-MG,Cuiabá,Arena MRV,0
38,05/05/2024,Flamengo,Palmeiras,Maracanã,0
38,05/05/2024,Vasco,Fluminense,São Januário,0
38,05/05/2024,Santos,Bahia,Vila Belmiro,0
38,06/05/2024,Ceará,Grêmio,Castelão,0
38,06/05/2024,Coritiba,Cruzeiro,Couto Pereira,0
38,06/05/2024,Sport,Corinthians,Ilha do Retiro,0
38,07/05/2024,Vitória,São Paulo,Barradão,0
38,07/05/2024,Internacional,Fortaleza,Beira-Rio,0
38,07/05/2024,Athletico-PR,Botafogo,Ligga Arena,0
